aoi_order,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label,aoi_line,word,word_length_signs
None,0.026290,989.634560,310.917120,0.009730,0.000000,face,None,None,None
None,0.053440,971.248071,214.253227,0.056470,0.000000,face,None,None,None
None,0.123190,905.401079,258.866062,0.214500,79.536982,face,None,None,None
None,0.712880,980.802560,261.844480,0.100360,75.460283,face,None,None,None
None,0.833260,900.970284,184.963001,0.535870,110.833001,face,None,None,None
None,1.375810,873.267200,235.299840,0.006690,57.456577,face,None,None,None
None,1.831460,1074.046444,266.282787,1.828370,203.155723,face,None,None,None
None,6.854810,854.572304,1228.900310,0.368400,987.320310,hands,None,None,None
None,7.237330,888.054351,1297.358178,0.917110,76.207134,hands,None,None,None
None,8.844660,714.864640,1354.752000,0.218610,182.451985,hands,None,None,None
None,11.067780,914.723840,379.671360,0.127380,995.352176,face,None,None,None
None,11.208760,928.296960,586.506240,0.006500,207.279756,face,None,None,None
None,11.436390,1066.047488,345.211392,0.093670,277.846021,face,None,None,None
None,11.563550,1196.008668,636.845821,0.669840,319.281300,face,None,None,None
None,12.266180,1070.080000,641.587200,0.014060,126.017896,face,None,None,None
None,12.327140,1151.094428,644.993113,0.328200,81.085990,face,None,None,None
None,12.876340,1204.518167,393.609775,0.087690,256.997430,face,None,None,None
None,13.680380,959.421889,1383.296808,0.444370,1019.584528,hands,None,None,None
None,14.169350,868.161447,637.763228,0.175530,751.098388,face,None,None,None
None,14.751660,1215.467520,593.548800,0.020450,350.109160,face,None,None,None
None,15.836950,1236.452693,324.633600,0.020250,269.732761,face,None,None,None
None,15.871080,1204.432121,441.487914,0.327580,121.162072,face,None,None,None
None,16.225430,1047.891058,355.061760,0.071350,178.814386,face,None,None,None
None,16.315820,1076.237653,530.411520,0.017530,177.626202,face,None,None,None
None,16.346240,1104.324198,393.748070,0.200680,139.519721,face,None,None,None
None,16.553620,1062.596367,344.759718,0.147360,64.351151,face,None,None,None
None,17.123020,1126.533120,538.758982,0.214440,204.263611,face,None,None,None
None,18.643350,1213.634072,332.549851,0.160820,223.849908,face,None,None,None
None,20.009840,1058.065067,480.573440,0.021110,214.738674,face,None,None,None
None,20.197530,1028.782080,506.786560,0.100390,39.301666,face,None,None,None
None,20.304750,1079.992320,442.567680,0.013400,82.137405,face,None,None,None
